题目编号,题目标题,素材模态,能力类型,选项形式,有效作答人数,严格完全识别率,平均部分标签得分,平均标签召回率,平均标签准确率,平均非标准标签误选率,同能力校正题总相关,高低27%组D值,平均强度匹配得分,被试级平均强度,最大敏感性差值,统计预警项数,统计预警原因,统计初筛建议
判别参考,,,,,≥15,<0.25预警（多选须结合部分得分）,,,,,≥0.15,≥0.20,,,<0.10,越少越好,,统计初筛，须内容复核
ITEM-00066,113,图像,情绪识别,多选题,17.0,0.0,0.6723588235294118,0.6029411764705882,0.8647058823529411,0.13529411764705881,,0.0,0.45955882352941174,3.950980392156863,0.0,3,严格完全识别率<0.25；校正题总相关不可计算；D值<0.20,修改后补测；结合选项分布与专家复核
ITEM-00064,111,图像,情绪识别,多选题,18.0,0.16666666666666666,0.4759333333333334,0.4722222222222222,0.5185185185185185,0.48148148148148145,0.09503819266229832,0.0,0.3680555555555556,3.962037037037037,0.008771929824561403,3,严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,修改后补测；结合选项分布与专家复核
ITEM-00041,54,文本,情绪识别,单选题,18.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.05383819020581663,0.0,0.1388888888888889,3.7777777777777777,0.0,3,严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,修改后补测；结合选项分布与专家复核
ITEM-00055,98,图像,情绪识别,多选题,18.0,0.05555555555555555,0.6806833333333332,0.6527777777777778,0.7833333333333333,0.21666666666666667,-0.2400980191995123,-0.25,0.5451388888888888,4.223148148148148,0.03582543859649112,3,严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,负相关复核：同时检查样本、维度、答案键与题意
ITEM-00073,107,图像,情绪识别,多选题,19.0,0.15789473684210525,0.5491315789473684,0.5526315789473685,0.6096491228070174,0.39035087719298245,-0.1338679054655897,0.0,0.4342105263157895,4.035087719298246,0.052298245614035066,3,严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,负相关复核：同时检查样本、维度、答案键与题意
ITEM-00089,84,视频,情绪识别,多选题,19.0,0.05263157894736842,0.7062578947368422,0.7192982456140351,0.775438596491228,0.22456140350877193,-0.11100169590868796,-0.2,0.5745684210526316,4.028070175438597,0.0,3,严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,负相关复核：同时检查样本、维度、答案键与题意
ITEM-00065,112,图像,情绪识别,多选题,20.0,0.0,0.53452,0.4375,0.7966666666666666,0.2033333333333333,,0.0,0.340625,3.9524999999999997,0.007291666666666696,3,严格完全识别率<0.25；校正题总相关不可计算；D值<0.20,修改后补测；结合选项分布与专家复核
ITEM-00127,87,视频,情绪识别,多选题,20.0,0.05,0.48571500000000006,0.4499999999999999,0.575,0.425,-0.06088061449793078,0.0,0.38333,4.0625,0.04415590909090916,3,严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,负相关复核：同时检查样本、维度、答案键与题意
ITEM-00044,80,视频,情绪识别,多选题,21.0,0.0,0.5698571428571431,0.5476190476190477,0.6825396825396824,0.3174603174603174,,0.0,0.4583333333333333,4.2936507936507935,0.04955279503105603,3,严格完全识别率<0.25；校正题总相关不可计算；D值<0.20,修改后补测；结合选项分布与专家复核
ITEM-00136,71,文本,情绪识别,多选题,21.0,0.047619047619047616,0.6147380952380954,0.5873015873015872,0.6865079365079365,0.3134920634920635,-0.29361380759439026,-0.2,0.4801428571428571,4.134920634920634,0.04349085714285711,3,严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,负相关复核：同时检查样本、维度、答案键与题意
