分组维度,属性类型,题目数,作答记录数,每题样本量均值,每题样本量范围,严格完全识别率,平均部分标签得分,平均标签召回率,平均标签准确率,平均非标准标签误选率,平均强度匹配得分,被试级平均强度,校正题总相关中位数,相关有效题数,D值中位数,敏感性差值中位数,敏感性差值最大值,样本不足题目比例,低完全识别率题目比例,负相关题目比例,暂时保留题目比例
总体,全部题目,147,3072,20.89795918,3–64,0.258789063,0.546799447,0.564615885,0.574207899,0.425792101,0.455929688,3.999956597,0.086506475,127,0,0.018206023,0.166666667,0.394557823,0.530612245,0.340136054,0.068027211
选项形式,多选题,75,2048,27.30666667,11–64,0.122070313,0.554085889,0.580810547,0.595198568,0.404801432,0.4685625,3.936946615,0.098224305,64,0,0.023083903,0.123483333,0.066666667,0.88,0.36,0.053333333
选项形式,单选题,72,1024,14.22222222,3–43,0.532226563,0.532226563,0.532226563,0.532226563,0.467773438,0.430664063,4.125976563,0.05383819,63,0,0.008457261,0.166666667,0.736111111,0.166666667,0.319444444,0.083333333
素材模态,图像,52,768,14.76923077,3–64,0.217447917,0.516541667,0.526367188,0.554079861,0.445920139,0.42960599,3.92953559,0.095038193,43,0,0.007077206,0.133333333,0.576923077,0.596153846,0.365384615,0.038461538
素材模态,视频,44,768,17.45454545,3–38,0.274739583,0.569671224,0.578233507,0.609288194,0.390711806,0.454074219,4.05171441,0.112339719,36,0,0.020144102,0.166666667,0.454545455,0.477272727,0.363636364,0.068181818
素材模态,文本,29,768,26.48275862,9–48,0.282552083,0.578747135,0.606119792,0.598090278,0.401909722,0.499391927,4.081011285,0.039536603,28,0,0.027370479,0.072727273,0.275862069,0.448275862,0.344827586,0.034482759
素材模态,音频,22,768,34.90909091,23–51,0.260416667,0.52223776,0.547743056,0.535373264,0.464626736,0.440646615,3.937565104,0.163780608,20,0.101010101,0.018646978,0.064286111,0,0.590909091,0.227272727,0.181818182
能力类型,情绪识别,120,2048,17.06666667,3–43,0.290039063,0.571309082,0.590861003,0.594905599,0.405094401,0.477789014,4.021280924,0.057655006,103,0,0.018646978,0.166666667,0.483333333,0.491666667,0.366666667,0.066666667
能力类型,情绪推理,27,1024,37.92592593,25–64,0.196289063,0.497780176,0.512125651,0.5328125,0.4671875,0.412211035,3.957307943,0.124975843,24,0.111111111,0.017204301,0.066411239,0,0.703703704,0.222222222,0.074074074
