答卷编号,提交时间,总作答时间（秒）,答卷综合得分率,作答题数,平均标签得分率,平均强度得分率,命中经验短时阈值,命中经验低分阈值,命中分布短时阈值,命中分布低分阈值,重点可疑,复核原因,纳入主分析
ZJ20260816215081F0,2026-08-16 11:39:00,1312.8799999999999,52.36,24,52.916666666666664,47.569583333333334,False,False,False,False,False,未命中,True
ZJ2026081626A9F0C8,2026-08-16 11:34:00,1003.4399999999999,54.71,24,56.409166666666664,50.81583333333333,False,False,False,False,False,未命中,True
ZJ202608162AB00269,2026-08-16 11:41:00,633.6,46.99,24,50.97291666666666,37.93416666666666,False,False,False,False,False,未命中,True
ZJ202608162DF0DA84,2026-08-16 11:39:00,905.68,60.69,24,65.09291666666667,53.03791666666667,False,False,False,False,False,未命中,True
ZJ202608162EF0CB38,2026-08-16 11:25:00,678.2,45.02,24,48.333333333333336,42.36083333333333,False,False,False,False,False,未命中,True
ZJ2026081631281475,2026-08-16 11:37:00,1027.97,56.54,24,61.48833333333334,51.388749999999995,False,False,False,False,False,未命中,True
ZJ20260816316503A8,2026-08-16 12:22:00,1252.97,55.8,24,59.96041666666667,47.569583333333334,False,False,False,False,False,未命中,True
ZJ2026081632C60C6E,2026-08-16 12:36:00,949.55,61.09,24,64.0675,56.42333333333334,False,False,False,False,False,未命中,True
ZJ20260816359E5D1C,2026-08-16 11:38:00,490.02,35.66,24,38.47291666666667,28.99291666666667,False,False,False,False,False,未命中,True
ZJ202608163FC20E16,2026-08-16 11:24:00,665.76,48.35,24,56.38958333333333,41.492916666666666,False,False,False,False,False,未命中,True
ZJ20260816400E816D,2026-08-16 11:22:00,540.47,54.53,24,59.04791666666667,48.524166666666666,False,False,False,False,False,未命中,True
ZJ20260816459772A7,2026-08-16 11:46:00,1015.28,51.38,24,54.33541666666667,46.007083333333334,False,False,False,False,False,未命中,True
ZJ202608164707BB2E,2026-08-16 11:30:00,548.47,45.14,24,49.48416666666666,41.145833333333336,False,False,False,False,False,未命中,True
ZJ20260816470D778E,2026-08-16 12:06:00,826.06,64.5,24,68.40291666666667,57.361250000000005,False,False,False,False,False,未命中,True
ZJ2026081647252C0B,2026-08-16 11:39:00,1207.97,50.1,24,54.30625,44.70458333333334,False,False,False,False,False,未命中,True
ZJ20260816485C7DF4,2026-08-16 11:43:00,1154.8899999999999,58.86,24,60.85333333333333,52.864583333333336,False,False,False,False,False,未命中,True
ZJ20260816493CBED0,2026-08-16 11:46:00,791.03,48.07,24,50.675000000000004,41.75333333333334,False,False,False,False,False,未命中,True
ZJ202608164A9B5EAB,2026-08-16 12:12:00,789.78,49.97,24,51.48208333333333,44.930416666666666,False,False,False,False,False,未命中,True
ZJ202608165077788D,2026-08-16 11:43:00,1085.88,59.96,24,66.50750000000001,49.461666666666666,False,False,False,False,False,未命中,True
ZJ2026081651FA7FF0,2026-08-16 12:35:00,525.38,50.48,24,57.22291666666666,43.75,False,False,False,False,False,未命中,True
ZJ202608165738A5E3,2026-08-16 11:45:00,800.89,52.66,24,57.599583333333335,44.53125,False,False,False,False,False,未命中,True
ZJ202608165B75EE9F,2026-08-16 08:38:00,1058.97,45.6,24,46.865,41.73625,False,False,False,False,False,未命中,True
ZJ202608165C2924F8,2026-08-16 11:39:00,923.8199999999999,40.08,24,43.90875,35.242916666666666,False,False,False,False,False,未命中,True
ZJ202608165DBFAD9B,2026-08-16 11:38:00,591.08,38.72,24,44.86166666666667,34.635416666666664,False,False,False,False,False,未命中,True
ZJ2026081660D35A2B,2026-08-16 12:03:00,781.41,53.06,24,57.46041666666667,45.833333333333336,False,False,False,False,False,未命中,True
ZJ2026081660F8D93D,2026-08-16 11:30:00,893.36,63.9,24,67.32125,60.13916666666666,False,False,False,False,False,未命中,True
ZJ202608166158CFE8,2026-08-16 11:22:00,679.26,40.52,24,41.349583333333335,35.9375,False,False,False,False,False,未命中,True
ZJ2026081661ECA598,2026-08-16 12:01:00,1072.03,57.48,24,63.750416666666666,46.007083333333334,False,False,False,False,False,未命中,True
ZJ2026081663CBDEC8,2026-08-16 11:43:00,910.6800000000001,38.64,24,42.06333333333333,36.805416666666666,False,False,False,False,False,未命中,True
ZJ202608166ABE7BF7,2026-08-16 11:32:00,916.91,51.35,24,51.07083333333333,48.00375,False,False,False,False,False,未命中,True
ZJ202608166C141642,2026-08-16 11:36:00,528.0,39.65,24,42.08375,32.8125,False,False,False,False,False,未命中,True
ZJ2026081672952FE1,2026-08-16 11:42:00,676.05,41.34,24,48.19541666666667,31.510416666666668,False,False,False,False,False,未命中,True
ZJ20260816743BE697,2026-08-16 11:35:00,892.39,49.3,24,53.055416666666666,42.88166666666667,False,False,False,False,False,未命中,True
ZJ2026081675E8035F,2026-08-16 11:31:00,589.69,55.82,24,59.02875,50.260416666666664,False,False,False,False,False,未命中,True
ZJ2026081676E36766,2026-08-16 11:45:00,253.48,38.13,24,40.13916666666667,34.54875,True,False,False,False,False,仅短时：暂不删除,True
ZJ2026081678851FE9,2026-08-16 11:20:00,468.59,40.63,24,43.70083333333333,34.75666666666667,False,False,False,False,False,未命中,True
ZJ2026081678ECFD57,2026-08-16 11:39:00,575.26,38.34,24,40.833333333333336,30.55541666666667,False,False,False,False,False,未命中,True
ZJ2026081689796855,2026-08-16 11:37:00,1145.67,57.47,24,60.873333333333335,49.82666666666666,False,False,False,False,False,未命中,True
ZJ202608168A889A87,2026-08-16 11:33:00,416.72999999999996,22.2,24,25.000416666666666,18.055416666666666,False,True,False,False,False,仅低分：原则保留,True
ZJ202608168C923637,2026-08-16 11:28:00,485.23,42.87,24,48.75083333333333,32.117916666666666,False,False,False,False,False,未命中,True
ZJ202608168CDD1814,2026-08-16 11:45:00,1639.81,46.36,24,47.32125,40.27791666666666,False,False,False,False,False,未命中,True
ZJ2026081690E823DF,2026-08-16 11:39:00,973.53,75.33,24,81.30333333333333,67.01375,False,False,False,False,False,未命中,True
ZJ2026081691B1E383,2026-08-16 11:39:00,1272.91,54.59,24,59.47416666666667,44.791666666666664,False,False,False,False,False,未命中,True
ZJ20260816922E063C,2026-08-16 11:23:00,765.24,51.17,24,50.53541666666666,52.34375,False,False,False,False,False,未命中,True
ZJ202608169355F2BD,2026-08-16 11:41:00,539.86,45.04,24,51.94541666666667,35.9375,False,False,False,False,False,未命中,True
ZJ2026081699731176,2026-08-16 11:41:00,1139.96,72.05,24,74.80125,66.11125,False,False,False,False,False,未命中,True
ZJ202608169A1C2DDD,2026-08-16 11:34:00,477.36,47.39,24,51.528333333333336,38.88916666666667,False,False,False,False,False,未命中,True
ZJ202608169C400826,2026-08-16 11:42:00,988.65,46.94,24,51.6675,40.19083333333334,False,False,False,False,False,未命中,True
ZJ20260816A2D8D9D8,2026-08-16 11:28:00,517.88,13.43,24,17.361250000000002,10.76375,False,True,False,True,False,仅低分：原则保留,True
ZJ20260816A4621F1C,2026-08-16 11:44:00,1134.73,57.63,24,56.81875,56.510416666666664,False,False,False,False,False,未命中,True
ZJ20260816A4EBD459,2026-08-16 12:32:00,741.0,41.37,24,44.62375,32.98625,False,False,False,False,False,未命中,True
ZJ20260816A6976749,2026-08-16 11:46:00,1190.65,54.37,24,58.055416666666666,49.65291666666667,False,False,False,False,False,未命中,True
ZJ20260816ABD8761B,2026-08-16 12:13:00,791.64,66.39,24,68.88250000000001,65.625,False,False,False,False,False,未命中,True
ZJ20260816ABE6C84D,2026-08-16 11:27:00,689.48,46.24,24,50.4175,40.677083333333336,False,False,False,False,False,未命中,True
ZJ20260816AE17A576,2026-08-16 12:29:00,553.66,22.68,24,25.139166666666668,17.117916666666666,False,True,False,False,False,仅低分：原则保留,True
ZJ20260816B48828FC,2026-08-16 11:28:00,594.85,31.0,24,35.41708333333333,22.56958333333333,False,False,False,False,False,未命中,True
ZJ20260816B702BF5E,2026-08-16 11:37:00,1236.48,62.88,24,64.94041666666666,61.111250000000005,False,False,False,False,False,未命中,True
ZJ20260816B8EC7ADE,2026-08-16 11:45:00,839.63,61.23,24,66.11125,61.28458333333333,False,False,False,False,False,未命中,True
ZJ20260816BE812224,2026-08-16 11:43:00,459.81,39.47,24,42.73833333333334,35.59041666666666,False,False,False,False,False,未命中,True
ZJ20260816C01C33B1,2026-08-16 13:24:00,975.04,68.08,24,73.61208333333333,59.02791666666667,False,False,False,False,False,未命中,True
ZJ20260816C024F8A0,2026-08-16 11:38:00,1220.08,57.9,24,59.56333333333333,53.47208333333333,False,False,False,False,False,未命中,True
ZJ20260816C0400BE8,2026-08-16 11:33:00,1040.46,71.66,24,72.63916666666667,66.14583333333333,False,False,False,False,False,未命中,True
ZJ20260816C21D29DF,2026-08-16 11:20:00,569.95,46.89,24,52.9175,39.583333333333336,False,False,False,False,False,未命中,True
ZJ20260816C2472380,2026-08-16 11:27:00,931.72,49.49,24,51.64625,44.270833333333336,False,False,False,False,False,未命中,True
ZJ20260816C63CA8EE,2026-08-16 12:02:00,180.25,29.25,24,35.695,24.13208333333333,True,True,False,False,True,短时且低分：重点复核,False
ZJ20260816CD36D1E8,2026-08-16 11:23:00,463.97,42.11,24,43.77041666666667,37.32625,False,False,False,False,False,未命中,True
ZJ20260816CE948744,2026-08-16 11:30:00,1007.32,54.84,24,59.60333333333333,48.177083333333336,False,False,False,False,False,未命中,True
ZJ20260816D1098BA7,2026-08-16 11:42:00,604.79,63.06,24,68.75041666666667,59.20166666666666,False,False,False,False,False,未命中,True
ZJ20260816D2D9D713,2026-08-16 11:25:00,663.29,63.92,24,63.62083333333334,64.23625,False,False,False,False,False,未命中,True
ZJ20260816D3140A3C,2026-08-16 11:42:00,470.69,63.35,24,65.51625,63.107499999999995,False,False,False,False,False,未命中,True
ZJ20260816D53CC28B,2026-08-16 11:40:00,979.19,42.93,24,46.27,36.214999999999996,False,False,False,False,False,未命中,True
ZJ20260816DB910F88,2026-08-16 11:44:00,799.93,61.34,24,65.89291666666666,54.25333333333333,False,False,False,False,False,未命中,True
ZJ20260816DE707527,2026-08-16 11:40:00,724.12,55.61,24,60.53583333333333,51.12875,False,False,False,False,False,未命中,True
ZJ20260816E188C8AB,2026-08-16 11:28:00,806.0,41.64,24,47.22291666666666,32.03125,False,False,False,False,False,未命中,True
ZJ20260816E2DB034E,2026-08-16 11:31:00,594.51,46.02,24,47.2225,42.1875,False,False,False,False,False,未命中,True
ZJ20260816E3CB6F01,2026-08-16 12:30:00,1096.66,61.01,24,58.997083333333336,64.28833333333334,False,False,False,False,False,未命中,True
ZJ20260816E61875DB,2026-08-16 11:55:00,1303.36,56.84,24,62.083333333333336,48.40291666666667,False,False,False,False,False,未命中,True
ZJ20260816E61A5746,2026-08-16 11:33:00,817.76,50.43,24,57.38125,45.48583333333334,False,False,False,False,False,未命中,True
ZJ20260816E6C8F04F,2026-08-16 11:39:00,1169.09,53.2,24,57.242916666666666,46.701249999999995,False,False,False,False,False,未命中,True
ZJ20260816EA0EBEC6,2026-08-16 11:43:00,718.85,53.96,24,60.0,44.617916666666666,False,False,False,False,False,未命中,True
